Transaction_ID,Transaction_Date,Branch_ID,Customer_ID,Product_ID,Quantity,Unit_Price_KES,Payment_Method,County,Order_Status
TXN005461,2025-02-06,BR002,CUST01381,PROD032,2,"KES 2,312.14",M-Pesa,Nairobi,Completed
TXN011120,2025-04-03,BR002,CUST00719,PROD082,4,218.32,M-Pesa,Nbi,Completed
TXN003369,01/01/2026,BR004,CUST01704,PROD026,6,92.9,Card,Kiambu,Completed
TXN007615,2025-03-24,BR008,CUST01301,PROD052,3,132.94,M-Pesa,Nbi,Completed
TXN007888,2025-09-26,BR006,CUST02904,PROD080,,938.81,M-Pesa,Nakuru,Completed
TXN006835,2026-01-09,BR006,CUST02641,PROD035,1,392.95,M-Pesa,Kiambu County,Completed
TXN012313,26/03/2025,BR009,CUST02793,PROD042,1,254.38,Card,Uasin Gishu,Completed
TXN012179,2025-01-28,BR007,CUST01060,PROD002,3,193.66,M-Pesa,NAIROBI ,Refunded
TXN015789,2025-05-07,BR011,CUST02111,PROD045,1,1238.05,M-Pesa,Kiambu County,Completed
TXN014067,2025-10-23,BR001,CUST01623,PROD114,8,KES 215.60,Card,Nairobi,Completed
TXN012642,2025-11-17,BR008,CUST00123,PROD031,8,685.17,M-Pesa,Kisumu,complete
TXN008901,2025-06-15,BR002,CUST00788,PROD007,5,881.73,M-Pesa,Nairobi,cancelled 
TXN012518,2025-03-14,BR006,CUST01671,PROD034,,139.39,M-Pesa,Nakuru,Completed
TXN009951,2025-06-23,BR008,CUST02557,PROD034,3,KES 135.76,M-Pesa,Kisumu,Completed
TXN001433,2025-10-04,BR001,,PROD059,5,246.97,M-Pesa,Nairobi,Completed
TXN008247,2026-06-10,BR008,CUST02132,PROD107,3,489.53,Card,NAIROBI ,Completed
TXN019030,2026-08-02,BR002,CUST00912,PROD088,1,1273.6,Card,Nairobi,Completed
TXN009409,2025-08-18,BR002,CUST00606,PROD004,5,565.82,M-Pesa,Nairobi,complete
TXN008178,2025-12-18,BR003,,PROD115,5,165.32,M-Pesa,Nairobi,Completed
TXN004438,2025-07-22,BR011,CUST02542,PROD017,3,654.95,Card,Kajiado,Completed
TXN006955,2025-12-09,BR012,CUST00611,PROD005,3,3319.82,M-Pesa,Nbi,Completed
TXN013944,21/12/2025,BR008,CUST00410,PROD076,1,309.81,M-Pesa,Kisumu,Cancelled
TXN006043,2025-03-12,BR012,,PROD019,2,237.35,M-Pesa,Kakamega,Completed
TXN015269,04/02/2025,BR008,CUST00128,PROD073,3,304.49,M-Pesa,Kisumu,Completed
TXN016680,2025-02-04,BR010,CUST01383,PROD018,,245.59,M-Pesa,Machakos,Completed
TXN004962,2025-10-02,BR007,CUST02524,PROD042,4,240.34,M-Pesa,Mombasa,cancelled 
TXN006656,2026-02-05,BR003,CUST02625,PROD041,1,303.65,Card,Nairobi,Completed
TXN015960,2025-03-20,BR009,CUST01037,PROD013,3,2139.24,M-Pesa,Uasin Gishu,COMPLETED
TXN016339,2026-07-04,BR009,,PROD042,1,238.12,M-Pesa,Uasin Gishu,Completed
TXN010731,30/12/2025,BR001,CUST02053,PROD106,1,297.21,Card,Nairobi,Completed
TXN019193,2025-09-13,BR001,,PROD117,1,2449.13,M-Pesa,Nairobi,Completed
TXN014303,2026-06-13,BR001,CUST01474,PROD063,1,KES 476.15,M-Pesa,Nairobi,Completed
TXN007708,13/02/2025,BR007,CUST00173,PROD088,2,1222.64,M-Pesa,Mombasa,Completed
TXN014366,2025-12-03,BR011,CUST02653,PROD061,1,2125.54,Card,Kajiado,COMPLETED
TXN011779,2025-03-10,BR011,,PROD008,5,524.21,Bank Transfer,Kajiado,Completed
TXN005738,2026-03-11,BR005,CUST00283,PROD049,1,561.48,M-Pesa,Kiambu,Completed
TXN002030,2026-05-08,BR005,CUST02479,PROD003,,233.13,Card,Kiambu,Completed
TXN011374,2026-04-28,BR002,CUST02541,PROD070,2,KES 496.14,M-Pesa,Nairobi,Cancelled
TXN008823,2026-07-25,BR011,CUST01930,PROD112,,963.75,M-Pesa,Kajiado,Completed
TXN010810,2026-05-12,BR011,CUST00711,PROD106,3,300.9,M-Pesa,Kajiado,cancelled 
TXN019305,2025-07-10,BR009,CUST00849,PROD105,5,341.06,M-Pesa,Uasin Gishu ,Completed
TXN013143,2026-03-13,BR001,CUST00136,PROD074,1,295.44,Cash,nairobi,Completed
TXN002963,2025-01-09,BR004,CUST02437,PROD087,1,"KES 2,330.90",M-Pesa,Kiambu,Completed
TXN012767,2026-02-02,BR007,CUST00497,PROD116,2,230.04,Card,Nbi,Completed
TXN014103,2025-11-29,BR001,CUST00849,PROD056,,1135.33,M-Pesa,Nairobi,Completed
TXN016096,2025-04-20,BR001,CUST00429,PROD035,10,407.45,M-Pesa,Nbi,Completed
TXN016191,2025-02-15,BR007,,PROD085,1,2157.48,M-Pesa,Mombasa,Completed
TXN004581,2026-08-01,BR002,CUST01985,PROD110,1,KES 71.48,Card,Nairobi,Completed
TXN010212,2026-04-18,BR007,CUST01251,PROD071,1,KES 919.14,M-Pesa,Mombasa,Completed
TXN011550,2025-08-01,BR008,CUST02464,PROD078,3,123.46,M-Pesa,Kisumu,Completed
TXN000746,2025-03-19,BR006,CUST01798,PROD100,3,601.45,M-Pesa,Nakuru,Completed
TXN006973,2025-09-15,BR001,CUST02651,PROD083,,159.26,Cash,Nairobi,Completed
TXN009011,2025-07-11,BR008,CUST00777,PROD115,3,175.66,M-Pesa,Kisumu,Cancelled
TXN003847,27/01/2026,BR002,CUST00619,PROD099,4,352.38,Cash,Nairobi,Completed
TXN000479,2025-02-15,BR004,CUST02239,PROD062,,104.26,Cash,Kiambu,Completed
TXN016735,2025-04-09,BR004,CUST01178,PROD079,1,1139.51,M-Pesa,nairobi,Completed
TXN014095,2025-05-25,BR002,CUST01555,PROD024,,831.12,M-Pesa,Nairobi,Completed
TXN019219,2025-12-19,BR012,CUST00356,PROD039,1,869.67,Cash,Kakamega,Refund
TXN011048,2026-07-18,BR012,CUST01351,PROD094,,70.49,M-Pesa,Kakamega,Completed
TXN004611,2026-06-06,BR012,CUST00780,PROD107,4,495.98,M-Pesa,NAIROBI ,Completed
TXN016061,2026-03-29,BR010,CUST02779,PROD080,1,954.17,Card,Machakos,Completed
TXN013537,2025-04-28,BR009,CUST02898,PROD074,1,307.66,M-Pesa,Uasin Gishu,Refund
TXN019930,2025-01-31,BR011,CUST01929,PROD115,1,167.98,M-Pesa,Kajiado,cancelled 
TXN015921,2026-05-29,BR001,CUST00685,PROD033,2,157.07,M-Pesa,Nairobi,Completed
TXN006449,2026-04-23,BR002,CUST02701,PROD011,,502.75,Bank Transfer,Nairobi,Completed
TXN001697,2025-10-11,BR006,CUST01050,PROD076,8,319.57,M-Pesa,Nakuru,complete
TXN006342,2026-02-20,BR007,CUST01295,PROD001,3,218.2,M-Pesa,Mombasa,cancelled 
TXN008560,2025-02-07,BR004,CUST02959,PROD002,,190.82,Bank Transfer,Kiambu,Completed
TXN003499,10/12/2025,BR011,CUST00225,PROD071,1,940.07,Card,Kajiado,Completed
TXN007731,2026-04-11,BR002,CUST02449,PROD069,,3597.88,M-Pesa,Nairobi,Completed
TXN017501,2026-06-17,BR012,CUST00042,PROD076,,306.88,M-Pesa,Kakamega,Completed
TXN013096,27/04/2026,BR009,CUST01421,PROD098,2,154.72,Cash,Uasin Gishu,Completed
TXN003579,2025-11-22,BR008,CUST02480,PROD111,2,KES 614.96,M-Pesa,Kisumu,Completed
TXN016205,29/06/2025,BR001,CUST02065,PROD067,5,194.99,M-Pesa,Nairobi,Completed
TXN019666,26/04/2026,BR006,CUST00765,PROD070,1,515.46,M-Pesa,Nakuru,Completed
TXN019497,2025-09-12,BR001,CUST02051,PROD067,1,KES 192.65,Bank Transfer,Nairobi,Completed
TXN011460,2026-02-27,BR012,,PROD004,2,576.14,Card,Kakamega,Completed
TXN007342,2026-01-18,BR008,,PROD062,2,107.54,Card,Kisumu,Completed
TXN005221,2025-07-07,BR003,CUST01356,PROD082,2,219.62,Cash,Nairobi,Completed
TXN003164,2026-03-22,BR009,CUST02893,PROD070,1,493.63,Card,Uasin Gishu,Completed
TXN019334,2025-04-25,BR008,,PROD092,1,293.4,M-Pesa,Kisumu,Completed
TXN010059,2025-04-19,BR001,CUST00416,PROD049,10,KES 538.69,M-Pesa,Nairobi,Completed
TXN012292,2026-02-21,BR009,CUST00685,PROD043,4,KES 321.00,Cash,Uasin Gishu,Completed
TXN016420,2025-03-06,BR002,CUST00849,PROD087,,2394.59,Card,Nairobi,Completed
TXN005991,2025-10-25,BR001,CUST02350,PROD009,2,320.27,Cash,Nbi,Completed
TXN010372,2026-05-13,BR005,CUST00589,PROD108,2,163.36,M-Pesa,Kiambu,Completed
TXN005306,2025-02-05,BR008,CUST01861,PROD090,4,50.23,M-Pesa,Nbi,Completed
TXN007590,2025-11-24,BR012,CUST01490,PROD088,2,1288.32,M-Pesa,Kakamega,complete
TXN000166,2025-04-14,BR006,CUST02359,PROD003,1,226.68,Bank Transfer,Nakuru,COMPLETED
TXN011749,2025-09-04,BR002,CUST00410,PROD048,,793.03,M-Pesa,Nairobi,Completed
TXN004689,15/04/2026,BR009,CUST01230,PROD051,3,214.42,M-Pesa,Uasin Gishu,Cancelled
TXN008765,2026-08-08,BR005,CUST01010,PROD100,1,624.27,Card,Kiambu,COMPLETED
TXN003762,2025-07-07,BR005,CUST00779,PROD028,2,407.2,M-Pesa,Kiambu,Completed
TXN000666,2026-01-14,BR008,CUST00339,PROD036,2,587.05,M-Pesa,nairobi,Completed
TXN000122,2025-05-15,BR004,CUST01927,PROD009,2,303.15,Card,Kiambu,complete
TXN015161,2025-10-17,BR002,CUST01144,PROD006,,521.18,M-Pesa,Nairobi,Completed
TXN000772,2025-01-13,BR002,CUST00708,PROD088,5,"KES 1,280.95",M-Pesa,Nairobi,Completed
TXN019360,2025-04-07,BR012,CUST01322,PROD108,1,161.37,M-Pesa,Kakamega,Completed
TXN013502,2025-12-31,BR003,CUST00257,PROD033,3,163.3,M-Pesa,Nairobi,complete
TXN015153,2025-09-13,BR003,CUST01304,PROD089,2,KES 91.26,M-Pesa,Nairobi,Completed
TXN015505,2025-11-06,BR003,CUST01308,PROD051,6,KES 215.12,M-Pesa,Nairobi,Completed
TXN014934,2025-06-12,BR003,CUST02730,PROD086,8,257.66,Cash,NAIROBI ,Completed
TXN002541,2026-03-26,BR009,,PROD005,1,3340.46,Card,Uasin Gishu,Completed
TXN007423,2026-01-31,BR009,CUST01677,PROD050,2,144.87,Cash,Uasin Gishu,Completed
TXN009075,2026-06-25,BR001,,PROD066,3,201.52,Card,Nairobi,Completed
TXN005146,2025-04-29,BR003,CUST00684,PROD047,2,617.99,Cash,Nairobi,Completed
TXN016771,2026-04-30,BR006,,PROD064,1,1471.55,Card,Nakuru,Completed
TXN008145,2025-07-28,BR004,CUST00700,PROD089,1,89.35,M-Pesa,Kiambu,Completed
TXN003113,2025-09-05,BR012,CUST01692,PROD093,4,922.55,M-Pesa,Kakamega,complete
TXN013948,02/10/2025,BR007,CUST01439,PROD105,2,328.3,M-Pesa,Mombasa,Completed
TXN010385,2025-05-04,BR009,,PROD051,2,225.45,Bank Transfer,Uasin Gishu,Completed
TXN014067,2025-10-23,BR001,CUST01623,PROD114,8,KES 215.60,Card,Nairobi,Completed
TXN011800,2025-05-15,BR001,,PROD068,1,574.53,M-Pesa,Nairobi,Completed
TXN012495,2025-06-04,BR003,,PROD002,5,192.95,M-Pesa,Nairobi,Completed
TXN000431,25/08/2026,BR012,CUST02758,PROD102,1,481.31,M-Pesa,Kakamega,Completed
TXN016401,2025-11-18,BR011,CUST01401,PROD089,,90.87,M-Pesa,Kajiado,Completed
TXN018955,2025-04-27,BR001,CUST00765,PROD019,,238.98,M-Pesa,Nairobi,Completed
TXN005001,2026-04-22,BR004,CUST00562,PROD037,,4046.92,M-Pesa,Kiambu,Completed
TXN006649,2025-07-15,BR011,CUST01235,PROD072,4,601.91,M-Pesa,Kajiado,Completed
TXN002241,2026-04-03,BR003,,PROD036,1,577.27,M-Pesa,Nairobi,Completed
TXN003234,2026-07-20,BR006,CUST01940,PROD061,,2146.19,Cash,Nakuru,Completed
