Expense_ID,Date,Branch_ID,Expense_Category,Amount_KES,Payment_Status
EXP000001,2025-01-10,BR001,Rent,416247.23,Paid
EXP000002,2025-01-04,BR001,Electricity,34903.04,Paid
EXP000003,2025-01-10,BR001,Internet,27009.51,Paid
EXP000004,2025-01-21,BR001,Transport,50214.77,Pending
EXP000005,2025-01-16,BR001,Marketing,56744.84,Paid
EXP000006,2025-01-01,BR001,Security,28946.07,Paid
EXP000007,2025-01-26,BR001,Maintenance,48831.46,Pending
EXP000008,2025-01-10,BR001,Staff Welfare,19877.23,Pending
EXP000009,2025-01-11,BR002,Rent,397060.25,Paid
EXP000010,2025-01-16,BR002,Electricity,72513.97,Paid
EXP000011,2025-01-22,BR002,Internet,14520.98,Paid
EXP000012,2025-01-19,BR002,Transport,49488.79,Paid
EXP000013,2025-01-12,BR002,Marketing,46614.56,Paid
EXP000014,2025-01-21,BR002,Security,37057.22,Pending
EXP000015,2025-01-21,BR002,Maintenance,44286.63,Paid
EXP000016,2025-01-19,BR002,Staff Welfare,10989.79,Pending
EXP000017,2025-01-04,BR003,Rent,241866.32,Paid
EXP000018,2025-01-06,BR003,Electricity,76315.81,Paid
EXP000019,2025-01-17,BR003,Internet,15443.33,Paid
EXP000020,2025-01-05,BR003,Transport,44523.08,Paid
EXP000021,2025-01-21,BR003,Marketing,21929.87,Paid
EXP000022,2025-01-05,BR003,Security,38437.76,Paid
EXP000023,2025-01-04,BR003,Maintenance,37932.06,Paid
EXP000024,2025-01-11,BR003,Staff Welfare,26057.15,Paid
EXP000025,2025-01-22,BR004,Rent,174459.91,Pending
EXP000026,2025-01-05,BR004,Electricity,38532.95,Paid
EXP000027,2025-01-02,BR004,Internet,25287.72,Paid
EXP000028,2025-01-26,BR004,Transport,21693.63,Paid
EXP000029,2025-01-15,BR004,Marketing,42911.28,Paid
EXP000030,2025-01-13,BR004,Security,32128.27,Paid
EXP000031,2025-01-26,BR004,Maintenance,22838.3,Pending
EXP000032,2025-01-07,BR004,Staff Welfare,22878.89,Pending
EXP000033,2025-01-01,BR005,Rent,215140.42,Paid
EXP000034,2025-01-03,BR005,Electricity,37645.32,Paid
EXP000035,2025-01-02,BR005,Internet,14306.99,Paid
EXP000036,2025-01-21,BR005,Transport,45545.51,Paid
EXP000037,2025-01-20,BR005,Marketing,66115.9,Pending
EXP000038,2025-01-06,BR005,Security,42961.42,Paid
EXP000039,2025-01-17,BR005,Maintenance,28925.37,Paid
EXP000040,2025-01-02,BR005,Staff Welfare,15351.37,Paid
EXP000041,2025-01-02,BR006,Rent,254646.93,Paid
EXP000042,2025-01-26,BR006,Electricity,79127.4,Paid
EXP000043,2025-01-23,BR006,Internet,21352.64,Paid
EXP000044,2025-01-13,BR006,Transport,67391.42,Pending
EXP000045,2025-01-17,BR006,Marketing,20811.97,Pending
EXP000046,2025-01-08,BR006,Security,37771.53,Pending
EXP000047,2025-01-19,BR006,Maintenance,42252.79,Pending
EXP000048,2025-01-03,BR006,Staff Welfare,28379.81,Paid
EXP000049,2025-01-10,BR007,Rent,271391.79,Paid
EXP000050,2025-01-12,BR007,Electricity,70217.53,Pending
EXP000051,2025-01-05,BR007,Internet,27444.88,Paid
EXP000052,2025-01-24,BR007,Transport,69839.2,Paid
EXP000053,2025-01-01,BR007,Marketing,80773.17,Pending
EXP000054,2025-01-09,BR007,Security,26929.84,Pending
EXP000055,2025-01-18,BR007,Maintenance,39910.57,Paid
EXP000056,2025-01-20,BR007,Staff Welfare,23599.01,Pending
EXP000057,2025-01-21,BR008,Rent,239589.82,Paid
EXP000058,2025-01-25,BR008,Electricity,50825.78,Paid
EXP000059,2025-01-04,BR008,Internet,14996.98,Paid
EXP000060,2025-01-15,BR008,Transport,38559.82,Pending
EXP000061,2025-01-01,BR008,Marketing,52844.97,Paid
EXP000062,2025-01-02,BR008,Security,39511.52,Paid
EXP000063,2025-01-06,BR008,Maintenance,13037.85,Paid
EXP000064,2025-01-13,BR008,Staff Welfare,11055.12,Paid
EXP000065,2025-01-21,BR009,Rent,216137.45,Paid
EXP000066,2025-01-15,BR009,Electricity,59676.48,Paid
EXP000067,2025-01-21,BR009,Internet,28289.12,Paid
EXP000068,2025-01-07,BR009,Transport,30571.26,Paid
EXP000069,2025-01-09,BR009,Marketing,14526.7,Paid
EXP000070,2025-01-21,BR009,Security,24924.3,Pending
EXP000071,2025-01-25,BR009,Maintenance,49188.67,Paid
EXP000072,2025-01-07,BR009,Staff Welfare,28957.61,Paid
EXP000073,2025-01-08,BR010,Rent,163395.06,Paid
EXP000074,2025-01-06,BR010,Electricity,36220.34,Paid
EXP000075,2025-01-13,BR010,Internet,28684.85,Pending
EXP000076,2025-01-12,BR010,Transport,25765.1,Paid
EXP000077,2025-01-25,BR010,Marketing,23531.08,Paid
EXP000078,2025-01-16,BR010,Security,29168.67,Paid
EXP000079,2025-01-20,BR010,Maintenance,9590.36,Pending
EXP000080,2025-01-25,BR010,Staff Welfare,28212.5,Paid
EXP000081,2025-01-06,BR011,Rent,183796.57,Paid
EXP000082,2025-01-11,BR011,Electricity,28219.81,Paid
EXP000083,2025-01-24,BR011,Internet,25811.66,Pending
EXP000084,2025-01-10,BR011,Transport,45045.46,Paid
EXP000085,2025-01-01,BR011,Marketing,54794.4,Pending
EXP000086,2025-01-18,BR011,Security,19766.87,Paid
EXP000087,2025-01-16,BR011,Maintenance,33258.07,Pending
EXP000088,2025-01-12,BR011,Staff Welfare,31834.1,Paid
EXP000089,2025-01-18,BR012,Rent,149660.94,Paid
EXP000090,2025-01-12,BR012,Electricity,34764.31,Paid
EXP000091,2025-01-18,BR012,Internet,17863.29,Paid
EXP000092,2025-01-04,BR012,Transport,50149.8,Paid
