Month,Branch_ID,Product_ID,Opening_Stock,Stock_Received,Units_Sold,Damaged_Units,Closing_Stock
2025-01-01,BR001,PROD001,35,41,3,0,73
2025-01-01,BR001,PROD002,57,21,2,0,76
2025-01-01,BR001,PROD003,340,0,3,0,337
2025-01-01,BR001,PROD004,30,28,2,0,56
2025-01-01,BR001,PROD005,58,23,0,2,79
2025-01-01,BR001,PROD006,296,13,1,0,308
2025-01-01,BR001,PROD007,93,44,2,0,135
2025-01-01,BR001,PROD008,232,217,3,0,446
2025-01-01,BR001,PROD009,101,48,3,0,146
2025-01-01,BR001,PROD010,244,53,1,0,296
2025-01-01,BR001,PROD011,97,32,11,0,118
2025-01-01,BR001,PROD012,215,83,1,0,297
2025-01-01,BR001,PROD013,53,40,6,0,87
2025-01-01,BR001,PROD014,58,77,2,0,133
2025-01-01,BR001,PROD015,44,31,2,0,73
2025-01-01,BR001,PROD016,75,63,0,2,136
2025-01-01,BR001,PROD017,195,113,0,0,308
2025-01-01,BR001,PROD018,86,0,0,0,86
2025-01-01,BR001,PROD019,87,48,11,0,124
2025-01-01,BR001,PROD020,223,0,0,0,223
2025-01-01,BR001,PROD021,168,35,3,0,200
2025-01-01,BR001,PROD022,117,137,0,0,254
2025-01-01,BR001,PROD023,83,31,0,0,114
2025-01-01,BR001,PROD024,90,45,3,0,132
2025-01-01,BR001,PROD025,59,38,10,1,86
2025-01-01,BR001,PROD026,34,2,11,0,25
2025-01-01,BR001,PROD027,70,139,17,1,191
2025-01-01,BR001,PROD028,287,0,6,0,281
2025-01-01,BR001,PROD029,74,23,1,0,96
2025-01-01,BR001,PROD030,63,17,5,0,75
2025-01-01,BR001,PROD031,30,9,0,0,39
2025-01-01,BR001,PROD032,248,0,6,3,239
2025-01-01,BR001,PROD033,31,18,8,0,41
2025-01-01,BR001,PROD034,109,25,12,0,122
2025-01-01,BR001,PROD035,62,20,16,0,66
2025-01-01,BR001,PROD036,32,19,5,0,46
2025-01-01,BR001,PROD037,48,24,0,0,72
2025-01-01,BR001,PROD038,199,8,0,0,207
2025-01-01,BR001,PROD039,190,0,1,0,189
2025-01-01,BR001,PROD040,61,34,1,0,94
2025-01-01,BR001,PROD041,31,33,3,0,61
2025-01-01,BR001,PROD042,170,216,10,0,376
2025-01-01,BR001,PROD043,156,58,0,0,214
2025-01-01,BR001,PROD044,48,52,0,0,100
2025-01-01,BR001,PROD045,80,0,0,0,80
2025-01-01,BR001,PROD046,40,49,0,0,89
2025-01-01,BR001,PROD047,140,21,3,0,158
2025-01-01,BR001,PROD048,45,49,0,0,94
2025-01-01,BR001,PROD049,84,0,1,0,83
2025-01-01,BR001,PROD050,37,28,9,0,56
2025-01-01,BR001,PROD051,58,9,8,0,59
2025-01-01,BR001,PROD052,78,86,0,0,164
2025-01-01,BR001,PROD053,188,67,0,0,255
2025-01-01,BR001,PROD054,129,84,2,0,211
2025-01-01,BR001,PROD055,125,72,6,1,190
2025-01-01,BR001,PROD056,339,51,0,0,390
2025-01-01,BR001,PROD057,115,46,8,0,153
2025-01-01,BR001,PROD058,53,46,2,0,97
2025-01-01,BR001,PROD059,20,50,8,0,62
2025-01-01,BR001,PROD060,266,126,2,0,390
2025-01-01,BR001,PROD061,317,0,0,2,315
2025-01-01,BR001,PROD062,254,0,6,0,248
2025-01-01,BR001,PROD063,176,130,0,0,306
2025-01-01,BR001,PROD064,44,0,0,0,44
2025-01-01,BR001,PROD065,88,0,8,0,80
2025-01-01,BR001,PROD066,61,39,3,0,97
2025-01-01,BR001,PROD067,106,0,8,0,98
2025-01-01,BR001,PROD068,114,0,8,0,106
2025-01-01,BR001,PROD069,69,0,0,0,69
2025-01-01,BR001,PROD070,266,32,1,0,297
2025-01-01,BR001,PROD071,138,0,1,0,137
2025-01-01,BR001,PROD072,240,0,0,0,240
2025-01-01,BR001,PROD073,114,35,1,0,148
2025-01-01,BR001,PROD074,49,0,11,2,36
2025-01-01,BR001,PROD075,364,98,1,0,461
2025-01-01,BR001,PROD076,102,68,5,0,165
2025-01-01,BR001,PROD077,65,28,0,0,93
2025-01-01,BR001,PROD078,39,25,1,1,62
2025-01-01,BR001,PROD079,71,0,0,0,71
2025-01-01,BR001,PROD080,41,0,1,0,40
2025-01-01,BR001,PROD081,79,0,0,0,79
2025-01-01,BR001,PROD082,124,35,2,1,156
2025-01-01,BR001,PROD083,62,46,8,0,100
2025-01-01,BR001,PROD084,142,0,13,0,129
2025-01-01,BR001,PROD085,45,10,1,0,54
2025-01-01,BR001,PROD086,65,20,2,0,83
2025-01-01,BR001,PROD087,78,80,4,0,154
2025-01-01,BR001,PROD088,34,69,3,0,100
2025-01-01,BR001,PROD089,173,272,0,0,445
2025-01-01,BR001,PROD090,97,105,8,0,194
2025-01-01,BR001,PROD091,234,148,4,2,376
2025-01-01,BR001,PROD092,57,31,0,0,88
2025-01-01,BR001,PROD093,72,17,0,0,89
2025-01-01,BR001,PROD094,77,45,0,0,122
2025-01-01,BR001,PROD095,88,150,3,0,235
2025-01-01,BR001,PROD096,145,30,0,1,174
2025-01-01,BR001,PROD097,144,37,13,0,168
2025-01-01,BR001,PROD098,81,0,5,0,76
2025-01-01,BR001,PROD099,29,38,5,0,62
2025-01-01,BR001,PROD100,99,96,0,0,195
2025-01-01,BR001,PROD101,100,33,5,0,128
2025-01-01,BR001,PROD102,113,48,0,2,159
2025-01-01,BR001,PROD103,58,19,0,0,77
2025-01-01,BR001,PROD104,53,73,0,0,126
2025-01-01,BR001,PROD105,172,27,1,0,198
2025-01-01,BR001,PROD106,81,18,2,0,97
2025-01-01,BR001,PROD107,182,0,1,0,181
2025-01-01,BR001,PROD108,62,129,6,0,185
2025-01-01,BR001,PROD109,124,44,7,0,161
2025-01-01,BR001,PROD110,214,91,0,0,305
2025-01-01,BR001,PROD111,34,75,6,0,103
2025-01-01,BR001,PROD112,68,25,6,0,87
2025-01-01,BR001,PROD113,37,18,9,0,46
2025-01-01,BR001,PROD114,55,96,5,0,146
2025-01-01,BR001,PROD115,209,51,6,0,254
2025-01-01,BR001,PROD116,59,55,0,0,114
2025-01-01,BR001,PROD117,60,77,0,0,137
2025-01-01,BR001,PROD118,151,162,2,0,311
2025-01-01,BR001,PROD119,25,32,1,0,56
2025-01-01,BR001,PROD120,339,126,1,2,462
2025-01-01,BR002,PROD001,56,29,0,0,85
2025-01-01,BR002,PROD002,57,76,3,0,130
2025-01-01,BR002,PROD003,182,205,2,0,385
2025-01-01,BR002,PROD004,27,22,0,0,49
2025-01-01,BR002,PROD005,35,53,0,0,88
2025-01-01,BR002,PROD006,253,0,1,0,252
2025-01-01,BR002,PROD007,172,23,0,0,195
2025-01-01,BR002,PROD008,335,0,1,1,333
2025-01-01,BR002,PROD009,72,46,2,0,116
2025-01-01,BR002,PROD010,152,11,9,3,151
2025-01-01,BR002,PROD011,58,79,4,0,133
2025-01-01,BR002,PROD012,241,66,1,0,306
2025-01-01,BR002,PROD013,36,54,0,0,90
2025-01-01,BR002,PROD014,96,10,0,0,106
2025-01-01,BR002,PROD015,65,0,0,0,65
2025-01-01,BR002,PROD016,95,0,0,0,95
2025-01-01,BR002,PROD017,231,0,2,0,229
2025-01-01,BR002,PROD018,79,33,0,0,112
2025-01-01,BR002,PROD019,120,13,9,0,124
2025-01-01,BR002,PROD020,106,143,0,0,249
2025-01-01,BR002,PROD021,235,74,0,1,308
2025-01-01,BR002,PROD022,156,99,0,0,255
2025-01-01,BR002,PROD023,51,76,0,0,127
2025-01-01,BR002,PROD024,90,6,0,0,96
2025-01-01,BR002,PROD025,55,28,13,0,70
2025-01-01,BR002,PROD026,31,24,4,0,51
2025-01-01,BR002,PROD027,121,0,0,0,121
2025-01-01,BR002,PROD028,324,0,0,0,324
2025-01-01,BR002,PROD029,88,33,0,0,121
2025-01-01,BR002,PROD030,47,26,0,0,73
2025-01-01,BR002,PROD031,49,11,0,1,59
2025-01-01,BR002,PROD032,256,51,9,0,298
2025-01-01,BR002,PROD033,66,28,4,0,90
2025-01-01,BR002,PROD034,170,70,0,0,240
2025-01-01,BR002,PROD035,46,74,2,0,118
2025-01-01,BR002,PROD036,22,31,6,0,47
2025-01-01,BR002,PROD037,48,57,3,0,102
2025-01-01,BR002,PROD038,220,78,0,0,298
2025-01-01,BR002,PROD039,197,0,0,0,197
2025-01-01,BR002,PROD040,105,0,0,0,105
2025-01-01,BR002,PROD041,45,13,0,1,57
2025-01-01,BR002,PROD042,293,0,2,0,291
2025-01-01,BR002,PROD043,124,13,4,0,133
2025-01-01,BR002,PROD044,40,11,1,0,50
2025-01-01,BR002,PROD045,49,77,0,0,126
2025-01-01,BR002,PROD046,59,0,1,0,58
2025-01-01,BR002,PROD047,107,52,0,3,156
2025-01-01,BR002,PROD048,52,11,0,0,63
2025-01-01,BR002,PROD049,63,23,4,0,82
2025-01-01,BR002,PROD050,47,0,0,0,47
2025-01-01,BR002,PROD051,67,10,3,0,74
2025-01-01,BR002,PROD052,112,0,2,0,110
2025-01-01,BR002,PROD053,182,16,0,0,198
2025-01-01,BR002,PROD054,101,70,1,0,170
2025-01-01,BR002,PROD055,70,59,4,0,125
2025-01-01,BR002,PROD056,292,91,0,0,383
2025-01-01,BR002,PROD057,106,30,0,0,136
2025-01-01,BR002,PROD058,57,72,14,0,115
2025-01-01,BR002,PROD059,20,49,4,0,65
2025-01-01,BR002,PROD060,297,78,2,1,372
2025-01-01,BR002,PROD061,278,0,8,1,269
2025-01-01,BR002,PROD062,293,0,0,0,293
2025-01-01,BR002,PROD063,138,178,1,0,315
2025-01-01,BR002,PROD064,48,22,1,0,69
2025-01-01,BR002,PROD065,88,43,1,0,130
2025-01-01,BR002,PROD066,45,74,4,2,113
2025-01-01,BR002,PROD067,95,14,5,0,104
2025-01-01,BR002,PROD068,110,25,0,0,135
2025-01-01,BR002,PROD069,77,30,16,0,91
2025-01-01,BR002,PROD070,164,141,0,0,305
2025-01-01,BR002,PROD071,111,0,4,0,107
2025-01-01,BR002,PROD072,162,1,2,0,161
2025-01-01,BR002,PROD073,55,32,3,0,84
2025-01-01,BR002,PROD074,41,7,0,0,48
2025-01-01,BR002,PROD075,367,0,1,0,366
2025-01-01,BR002,PROD076,98,22,0,0,120
2025-01-01,BR002,PROD077,63,29,2,0,90
2025-01-01,BR002,PROD078,44,12,3,0,53
2025-01-01,BR002,PROD079,37,71,5,0,103
2025-01-01,BR002,PROD080,48,17,1,0,64
2025-01-01,BR002,PROD081,47,88,0,0,135
