Transaction_ID,Transaction_Date,Transaction_Time,Branch_ID,Customer_ID,Product_ID,Quantity,Unit_Price_KES,Discount_Percent,VAT_Percent,Payment_Method,Mpesa_Reference,Sales_Channel,Salesperson_ID,Delivery_Fee_KES,Order_Status,Gross_Sales_KES,Discount_Amount_KES,Net_Sales_KES,VAT_Amount_KES,Final_Revenue_KES
TXN000001,2026-08-24,16:44:56,BR001,CUST00211,PROD080,6,942.22,0.05,0.16,M-Pesa,O98ZHWXQKS,Physical Store,EMP013,0,Completed,5653.32,282.67,5370.65,859.3,6229.95
TXN000002,2025-03-05,19:33:24,BR005,CUST02726,PROD100,5,610.35,0.05,0.16,Cash,,Physical Store,EMP029,0,Completed,3051.75,152.59,2899.16,463.87,3363.03
TXN000003,2026-01-21,20:59:42,BR001,CUST00407,PROD068,1,574.23,0.05,0.16,Card,,Online,EMP037,250,Completed,574.23,28.71,545.52,87.28,882.8
TXN000004,2026-06-15,15:32:28,BR011,CUST02521,PROD070,2,490.73,0,0.16,Bank Transfer,,Online,EMP035,200,Completed,981.46,0.0,981.46,157.03,1338.49
TXN000005,2026-05-07,09:27:09,BR011,CUST01233,PROD010,1,322.02,0.05,0.16,Cash,,WhatsApp Order,EMP023,250,Completed,322.02,16.1,305.92,48.95,604.87
TXN000006,2026-06-03,15:50:56,BR012,CUST02785,PROD068,6,586.78,0,0.16,M-Pesa,896ORIOR0E,Physical Store,EMP024,0,Refunded,3520.68,0.0,3520.68,563.31,-4083.99
TXN000007,2026-03-25,12:15:16,BR009,CUST01409,PROD099,6,353.15,0.05,0.16,Cash,,Online,EMP045,150,Completed,2118.9,105.95,2012.95,322.07,2485.02
TXN000008,2025-12-07,08:41:40,BR001,CUST02505,PROD120,3,1008.0,0.05,0.16,M-Pesa,RZCDPFC733,Online,EMP013,400,Completed,3024.0,151.2,2872.8,459.65,3732.45
TXN000009,2025-02-26,09:53:44,BR003,CUST00484,PROD015,1,1152.59,0.05,0.16,M-Pesa,NH0EQPG715,Physical Store,EMP027,0,Cancelled,1152.59,57.63,1094.96,175.19,0
TXN000010,2025-05-31,16:19:00,BR009,CUST01788,PROD047,5,588.63,0,0.16,M-Pesa,8FAE1J12B5,Physical Store,EMP057,0,Completed,2943.15,0.0,2943.15,470.9,3414.05
