Transaction_ID,Transaction_Date,Transaction_Time,Branch_ID,Customer_ID,Product_ID,Quantity,Unit_Price_KES,Discount_Percent,VAT_Percent,Payment_Method,Mpesa_Reference,Sales_Channel,Salesperson_ID,Delivery_Fee_KES,Order_Status
TXN000001,2026-08-24,16:44:56,BR001,CUST00211,PROD080,6,942.22,0.05,0.16,M-Pesa,O98ZHWXQKS,Physical Store,EMP013,0,Completed
TXN000002,2025-03-05,19:33:24,BR005,CUST02726,PROD100,5,610.35,0.05,0.16,Cash,,Physical Store,EMP029,0,Completed
TXN000003,2026-01-21,20:59:42,BR001,CUST00407,PROD068,1,574.23,0.05,0.16,Card,,Online,EMP037,250,Completed
TXN000004,2026-06-15,15:32:28,BR011,CUST02521,PROD070,2,490.73,0,0.16,Bank Transfer,,Online,EMP035,200,Completed
TXN000005,2026-05-07,09:27:09,BR011,CUST01233,PROD010,1,322.02,0.05,0.16,Cash,,WhatsApp Order,EMP023,250,Completed
TXN000006,2026-06-03,15:50:56,BR012,CUST02785,PROD068,6,586.78,0,0.16,M-Pesa,896ORIOR0E,Physical Store,EMP024,0,Refunded
TXN000007,2026-03-25,12:15:16,BR009,CUST01409,PROD099,6,353.15,0.05,0.16,Cash,,Online,EMP045,150,Completed
TXN000008,2025-12-07,08:41:40,BR001,CUST02505,PROD120,3,1008.0,0.05,0.16,M-Pesa,RZCDPFC733,Online,EMP013,400,Completed
TXN000009,2025-02-26,09:53:44,BR003,CUST00484,PROD015,1,1152.59,0.05,0.16,M-Pesa,NH0EQPG715,Physical Store,EMP027,0,Cancelled
TXN000010,2025-05-31,16:19:00,BR009,CUST01788,PROD047,5,588.63,0,0.16,M-Pesa,8FAE1J12B5,Physical Store,EMP057,0,Completed
TXN000011,2026-01-13,20:04:01,BR005,CUST00621,PROD076,2,305.78,0.1,0.16,M-Pesa,OX7MZNXW7K,WhatsApp Order,EMP053,200,Completed
TXN000012,2026-07-28,09:35:09,BR006,CUST00353,PROD041,2,294.61,0,0.16,M-Pesa,W29YEVT7VV,Physical Store,EMP054,0,Completed
TXN000013,2025-07-07,10:34:39,BR011,CUST02852,PROD058,1,83.52,0,0.16,Card,,Physical Store,EMP059,0,Completed
TXN000014,2025-10-18,16:24:06,BR011,CUST02794,PROD040,2,406.02,0.15,0.16,M-Pesa,JU1VEB40VR,Physical Store,EMP023,0,Completed
TXN000015,2025-09-27,13:16:11,BR003,CUST02432,PROD042,4,250.27,0.05,0.16,Card,,Physical Store,EMP039,0,Completed
TXN000016,2025-10-25,09:12:44,BR010,CUST00445,PROD120,1,1029.9,0,0.16,M-Pesa,56UPCJSIKU,Physical Store,EMP058,0,Completed
TXN000017,2025-05-09,17:55:34,BR002,CUST00637,PROD065,2,153.08,0.1,0.16,Bank Transfer,,Physical Store,EMP050,0,Refunded
TXN000018,2025-05-20,10:52:58,BR012,CUST02190,PROD042,5,241.31,0.05,0.16,M-Pesa,A3YM5K153U,Physical Store,EMP048,0,Completed
TXN000019,2025-01-18,17:34:09,BR009,CUST00888,PROD033,4,163.45,0.15,0.16,M-Pesa,4AWZZSIHIJ,WhatsApp Order,EMP021,300,Completed
TXN000020,2026-03-16,10:22:08,BR012,CUST00892,PROD066,4,201.93,0,0.16,M-Pesa,DNFNUO7ZOV,Online,EMP024,150,Completed
TXN000021,2025-02-27,15:15:44,BR002,CUST00942,PROD083,1,162.04,0.1,0.16,M-Pesa,9J48SRYHY8,Online,EMP026,200,Completed
TXN000022,2025-06-06,09:27:04,BR009,CUST00475,PROD006,2,515.28,0,0.16,Card,,Physical Store,EMP033,0,Completed
TXN000023,2025-05-04,09:36:45,BR009,CUST02316,PROD067,2,196.89,0.1,0.16,Cash,,Online,EMP009,300,Completed
TXN000024,2025-05-10,19:20:12,BR003,CUST01836,PROD048,1,775.69,0.05,0.16,Card,,Physical Store,EMP027,0,Completed
